t,value,smooth,d1,d2,variance,stability_score,state
0,0.15,0.2625,0.0,0.0,0.0041625,0.97225,stable-basin
1,0.22499999999999998,0.3,0.03749999999999998,0.03749999999999998,0.007968750000000002,0.42187500000000033,boundary-proximate
2,0.3,0.33749999999999997,0.03749999999999998,0.0,0.013029336734693878,0.6881377551020411,boundary-proximate
3,0.375,0.375,0.03750000000000003,5.551115123125783e-17,0.019248046874999997,0.6466796874999996,boundary-proximate
4,0.44999999999999996,0.45,0.07500000000000001,0.03749999999999998,0.0265625,0.07291666666666696,transition-zone
5,0.525,0.525,0.07500000000000001,0.0,0.03125,0.341666666666667,boundary-proximate
6,0.6,0.6,0.07499999999999996,-5.551115123125783e-17,0.035138888888888886,0.3157407407407409,boundary-proximate
7,0.675,0.6749999999999999,0.07499999999999996,0.0,0.03749999999999999,0.3000000000000007,boundary-proximate
8,0.75,0.75,0.07500000000000007,1.1102230246251565e-16,0.03513888888888888,0.3157407407407399,boundary-proximate
9,0.825,0.825,0.07499999999999996,-1.1102230246251565e-16,0.031249999999999993,0.34166666666666645,boundary-proximate
10,0.9,0.9,0.07500000000000007,1.1102230246251565e-16,0.0265625,0.3729166666666657,boundary-proximate
11,0.975,0.9749999999999999,0.07499999999999984,-2.220446049250313e-16,0.019248046875,0.4216796874999995,boundary-proximate
12,1.0499999999999998,1.0125,0.03750000000000009,-0.037499999999999756,0.013029336734693874,0.3881377551020422,boundary-proximate
13,1.125,1.05,0.03750000000000009,0.0,0.007968749999999998,0.7218749999999996,boundary-proximate
14,1.2,1.0875,0.03749999999999987,-2.220446049250313e-16,0.004162499999999998,0.7472499999999993,boundary-proximate
